image_path,mask_path,class,sphericity
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (201).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (201)_mask.png,0,0.6382262167788776
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (295).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (295)_mask.png,0,0.8056431829637027
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (164).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (164)_mask.png,0,0.7832085893689154
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (190).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (190)_mask.png,0,0.9183192120409069
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (161).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (161)_mask.png,0,0.9260668382095952
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (300).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (300)_mask.png,0,0.8965853762378667
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (345).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (345)_mask.png,0,0.9054586300465454
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (231).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (231)_mask.png,0,0.7918438876941578
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (137).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (137)_mask.png,0,0.8675079010590165
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (217).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (217)_mask.png,0,0.728767104969215
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (73).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (73)_mask.png,0,0.9253781518087564
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (79).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (79)_mask.png,0,0.9205382170584305
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (250).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (250)_mask.png,0,0.7173504152983294
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (47).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (47)_mask.png,0,0.882451330075685
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (228).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (228)_mask.png,0,0.6923425267316248
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (339).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (339)_mask.png,0,0.9190610733560188
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (133).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (133)_mask.png,0,0.897011374657084
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (241).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (241)_mask.png,0,0.8004038069976571
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (159).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (159)_mask.png,0,0.9200052876809065
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (340).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (340)_mask.png,0,0.7927631576944657
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (230).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (230)_mask.png,0,0.7945182930658186
/home/dsplab/Robin/image_mask/dataset/benign_images/benign (38).png,/home/dsplab/Robin/image_mask/dataset/benign_mask/benign (38)_mask.png,0,0.9313095004477381
